F_BUS,T_BUS,BR_R_pu,BR_X_pu,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
1,2,0.005752591,0.002932449,0,0,0,0,0,0,1,-360,360
2,3,0.030759517,0.015666764,0,0,0,0,0,0,1,-360,360
3,4,0.022835666,0.011629967,0,0,0,0,0,0,1,-360,360
4,5,0.023777793,0.01211039,0,0,0,0,0,0,1,-360,360
5,6,0.051099481,0.044111518,0,0,0,0,0,0,1,-360,360
6,7,0.011679881,0.038608497,0,0,0,0,0,0,1,-360,360
7,8,0.044386045,0.014668484,0,0,0,0,0,0,1,-360,360
8,9,0.064264305,0.046170471,0,0,0,0,0,0,1,-360,360
9,10,0.0651378,0.046170471,0,0,0,0,0,0,1,-360,360
10,11,0.012266371,0.004055514,0,0,0,0,0,0,1,-360,360
11,12,0.023359763,0.007724195,0,0,0,0,0,0,1,-360,360
12,13,0.091592232,0.072063371,0,0,0,0,0,0,1,-360,360
13,14,0.033791794,0.044479634,0,0,0,0,0,0,1,-360,360
14,15,0.036873985,0.03281847,0,0,0,0,0,0,1,-360,360
15,16,0.046563544,0.034003928,0,0,0,0,0,0,1,-360,360
16,17,0.08042397,0.107377542,0,0,0,0,0,0,1,-360,360
17,18,0.045671331,0.035813312,0,0,0,0,0,0,1,-360,360
2,19,0.010232375,0.009764431,0,0,0,0,0,0,1,-360,360
19,20,0.093850842,0.084566834,0,0,0,0,0,0,1,-360,360
20,21,0.025549741,0.029848586,0,0,0,0,0,0,1,-360,360
21,22,0.044230064,0.058480517,0,0,0,0,0,0,1,-360,360
3,23,0.028151509,0.019235617,0,0,0,0,0,0,1,-360,360
23,24,0.056028491,0.044242542,0,0,0,0,0,0,1,-360,360
24,25,0.055903706,0.043743402,0,0,0,0,0,0,1,-360,360
6,26,0.012665683,0.006451387,0,0,0,0,0,0,1,-360,360
26,27,0.017731957,0.009028199,0,0,0,0,0,0,1,-360,360
27,28,0.066073688,0.058255904,0,0,0,0,0,0,1,-360,360
28,29,0.050176072,0.043712206,0,0,0,0,0,0,1,-360,360
29,30,0.031664208,0.016128469,0,0,0,0,0,0,1,-360,360
30,31,0.06079528,0.060084005,0,0,0,0,0,0,1,-360,360
31,32,0.01937288,0.022579856,0,0,0,0,0,0,1,-360,360
32,33,0.021275852,0.033080519,0,0,0,0,0,0,1,-360,360
21,8,0.124785058,0.124785058,0,0,0,0,0,0,0,-360,360
9,15,0.124785058,0.124785058,0,0,0,0,0,0,0,-360,360
12,22,0.124785058,0.124785058,0,0,0,0,0,0,0,-360,360
18,33,0.031196264,0.031196264,0,0,0,0,0,0,0,-360,360
25,29,0.031196264,0.031196264,0,0,0,0,0,0,0,-360,360
