CaseGroup,CaseName,Composition,N_ES,N_STATCOM,N_ESS,N_ES1,PV_Included,PV_Scale,VoltageFeasible,Vmin_pu,Vmax_pu,TotalLoss_pu,LossReduction_pct,VoltageRecovery_pu,TotalSupportDevices,TotalTraditionalSupport,TotalESBasedDevices,TotalSTATCOM_MVAr,TotalES1Reactive_MVAr,TotalReactiveSupport_MVAr,TotalPVCapacity_MW,ControllableLoadP_MW,ControllableLoadQ_MVAr,ControllableLoadS_MVA,MaxReducibleP_MW,MaxReducibleQ_MVAr,MaxReducibleS_MVA,PerESSInverter_MVA,TotalESSInverter_MVA,PerESSEnergy_MWh,TotalESSEnergy_MWh,MainSupportMechanism,RatingInterpretation,OverallInterpretation,RecommendationCategory,RecommendationNote
Baseline,No support,"No support",0,0,0,0,No,NaN,No,0.8308,NaN,0.6711,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A,N/A,N/A,None,N/A,Reference stressed feeder; severe undervoltage,Reference only,Baseline case with no voltage support.
Individual,STATCOM only,"7 STATCOM",0,7,0,0,No,NaN,Yes,0.95,NaN,0.5365,20.0566234540307,0.1192,7,7,0,7,0,7,0,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A,N/A,N/A,Reactive compensation,7 STATCOM x 1.0 MVAr = 7.0 MVAr,Traditional reactive-support benchmark; feasible but high device count,Traditional reactive benchmark,Reactive injection only; locations selected by MISOCP placement.
Individual,ESS only,"3 ESS",0,0,3,0,No,NaN,Yes,0.95,NaN,0.4337,35.3747578602295,0.1192,3,3,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A,N/A,N/A,Storage/inverter support,Requires ESS inverter and energy rating extraction,Fewer devices than STATCOM; requires inverter MVA and battery MWh sizing,Best traditional standalone by device count,ESS should be compared using both inverter power rating and battery energy capacity.
Individual,Standard ES only,"32 standard ES",32,0,0,0,No,NaN,No,0.9324,NaN,0.118,82.4169274325734,0.1016,32,0,32,0,0,0,0,3.1206,1.932,3.67025453613234,2.49648,1.5456,2.93620362890587,N/A,N/A,N/A,N/A,Non-critical load control,Controllable load capacity; no independent reactive injection,Standard ES cannot achieve voltage feasibility alone despite 32 devices,Not sufficient alone,Standard ES reduces load but has no independent reactive injection.
Hybrid,Standard ES + STATCOM,"32 ES + 2 STATCOM",32,2,0,0,No,NaN,Yes,0.95,NaN,0.0786,88.2878855610192,0.1192,34,2,32,2,0,2,0,3.1206,1.932,3.67025453613234,2.49648,1.5456,2.93620362890587,N/A,N/A,N/A,N/A,Load control plus reactive compensation,Hybrid: 32 ES (load control) + 2 STATCOM (1.0 MVAr each),Lowest-loss hybrid feasible case with full ES deployment (32 units + 2 STATCOM),Lowest-loss feasible hybrid,Standard ES reduces STATCOM requirement from 7 to 2 but does not eliminate it.
Hybrid,Standard ES + ESS,"32 ES + 1 ESS",32,0,1,0,No,NaN,Yes,0.9544,NaN,0.0826,87.6918492028014,0.1236,33,1,32,0,0,0,0,3.1206,1.932,3.67025453613234,2.49648,1.5456,2.93620362890587,N/A,N/A,N/A,N/A,Load control plus storage/inverter support,Hybrid: 32 ES + 1 ESS (inverter and energy rating needed),Low-loss hybrid feasible case; standard ES reduces ESS requirement from 3 to 1,Low-loss feasible hybrid,Standard ES reduces ESS requirement from 3 to 1 but does not eliminate it.
Hybrid,Standard ES joint traditional support,"32 ES + 1 ESS",32,0,1,0,No,NaN,Yes,0.9544,NaN,0.0826,87.6918492028014,0.1236,33,1,32,0,0,0,0,3.1206,1.932,3.67025453613234,2.49648,1.5456,2.93620362890587,N/A,N/A,N/A,N/A,Joint load control plus storage,Joint opt still requires 1 ESS; standard ES cannot eliminate support floor,Joint optimisation still requires 1 ESS; standard ES cannot remove support floor,Standard ES cannot eliminate final support floor,Joint optimisation reveals that standard ES cannot fully replace traditional support.
Individual,ES-1 only,"4 ES-1",0,0,0,4,No,NaN,Yes,0.95,NaN,0.3806,43.2871405155715,0.1192,4,0,4,0,4,4,0,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A,N/A,N/A,Load control plus independent Q_es,4 ES-1 x 1.0 MVAr equivalent = 4.0 MVAr reactive support,Best ES-based standalone voltage-recovery solution; fully replaces STATCOM/ESS,Best ES-based standalone voltage-recovery option,ES-1 with independent reactive support removes the need for dedicated STATCOM or ESS.
Hybrid,ES-1 joint traditional support,"4 ES-1 + 0 STATCOM + 0 ESS",0,0,0,4,No,NaN,Yes,0.95,NaN,0.3806,43.2871405155715,0.1192,4,0,4,0,4,4,0,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A,N/A,N/A,Independent Q_es support,4 ES-1 x 1.0 MVAr equivalent = 4.0 MVAr reactive support,ES-1 removes the substitution floor; no traditional support is needed,Best ES-based traditional-support replacement,ES-1 removes the need for dedicated traditional support STATCOM or ESS.
PV extension,PV only,"PV at buses 18, 22, 25, 33",0,0,0,0,Yes,1,No,0.8308,1.0217,0.5878,12.4124571598868,0,0,0,0,0,0,0,2.7,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A,N/A,N/A,Active PV generation only,PV at scale 1.0 = 2.7 MW (Stage 10 reference),PV reduces losses but does not solve undervoltage in the current stressed profile,Not sufficient alone under current stressed profile,PV generation helps with losses but does not provide sufficient voltage support.
PV extension,PV + ES-1,"PV + 8 ES-1",0,0,0,8,Yes,2,Yes,0.95,1.0445,0.4476,33.3035315154224,0.1192,8,0,8,0,8,8,5.4,NaN,NaN,NaN,NaN,NaN,NaN,N/A,N/A,N/A,N/A,PV plus independent Q_es support,PV at scale 2.0 (5.4 MW) + 8 ES-1 x 1.0 MVAr = 8.0 MVAr,Maintains voltage feasibility up to 200 percent PV scale in the tested Stage 10 sweep,Best PV-integrated feasible case in tested Stage 10 setup,ES-1 integration with PV maintains voltage feasibility across high penetration scenarios.
