RatingCase,PerESSInverter_MVA,PerESSEnergy_MWh,Duration_h,N_ESS_allowed,N_ESS_used,VoltageFeasible,Vmin_pu,Vmax_pu,TotalLoss_pu,TotalESSInverter_MVA,TotalESSEnergy_MWh,WorstBus,WorstHour,SolveStatus,SolveTime_s,Notes
Small,0.5,1,2,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.8494118,
Small,0.5,1,2,2,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.6465311,
Small,0.5,1,2,3,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.4418665,
Small,0.5,1,2,4,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.3114746,
Small,0.5,1,2,5,5,1,0.950000000368798,1,0.440522651705447,2.5,5,12,18,1,10.9842299,
Base,1,2,2,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.0793319,
Base,1,2,2,2,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.9022064,
Base,1,2,2,3,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.0061703,
Base,1,2,2,4,4,1,0.950000000040972,1,0.418002661422831,4,8,18,17,1,5.9952399,
Large,1.5,3,2,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.98835,
Large,1.5,3,2,2,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.1619649,
Large,1.5,3,2,3,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.784833,
Large,1.5,3,2,4,4,1,0.950000000291576,1,0.408217763787852,6,12,18,24,1,3.3398635,
XL,2,4,2,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.9082429,
XL,2,4,2,2,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.8541531,
XL,2,4,2,3,3,1,0.950000000055601,1,0.428472852200999,6,12,18,24,1,5.8039619,
