Method,Buses,k,rho,u_min,Feasible,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,MaxCurt,SolCode
weakest_bus,[17 18],2,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
end_feeder,[17 18],2,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
highest_load,[24 25],2,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
VSI,[17 18],2,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
combined,[17 18],2,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
weakest_bus,[16 17 18 33],4,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
end_feeder,[15 16 17 18],4,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
highest_load,[7 24 25 32],4,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
VSI,[14 16 17 18],4,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
combined,[14 16 17 18],4,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
weakest_bus,[15 16 17 18 31 32 33],7,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
end_feeder,[13 14 15 16 17 18 33],7,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
highest_load,[7 8 24 25 30 31 32],7,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
VSI,[12 13 14 15 16 17 18],7,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
combined,[13 14 15 16 17 18 30],7,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
weakest_bus,[13 14 15 16 17 18 29 30 31 32 33],11,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
end_feeder,[11 12 13 14 15 16 17 18 31 32 33],11,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
highest_load,[2 4 7 8 14 24 25 29 30 31 32],11,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
VSI,[9 10 11 12 13 14 15 16 17 18 30],11,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
combined,[10 11 12 13 14 15 16 17 18 30 32],11,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
weakest_bus,[9 10 11 12 13 14 15 16 17 18 28 29 30 31 32 33],16,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
end_feeder,[9 10 11 12 13 14 15 16 17 18 28 29 30 31 32 33],16,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
highest_load,[2 3 4 7 8 14 18 19 20 21 24 25 29 30 31 32],16,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
