Case,Qg_frac,rho,u_min,N_ES_max,Feasible_volt,N_ES_sel,ES_Buses,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,MaxCurt,TotalVoltSlack,TotalQg_pu,SolCode,SolTime_s
ES_only,0,0.3,0,4,0,4,[8 14 30 32],0.850241883667076,18,0.516137337349784,0.991024975238432,1.00000255674118,20.3378703882625,0,0,0.8582338
ES_Qg25,0.25,0.3,0,4,0,4,[8 14 30 32],0.851444174018966,18,0.513798457294356,0.926934086465493,1.00000010353127,19.8135246262241,0.17622942577441,0,0.8055169
ES_Qg50,0.5,0.3,0,4,0,4,[8 14 30 32],0.852641924446992,18,0.506531260714722,0.892434428693584,1.00000220604866,19.2926595020152,0.352956438887214,0,0.8110678
ES_Qg75,0.75,0.3,0,4,0,4,[8 14 30 32],0.853835070682847,18,0.488376183900707,0.956028959076479,1,18.7847017106909,0.528709006590791,0,0.8039233
Qg_full_ES,1,0.3,0,4,0,4,[8 14 30 32],0.85502373563412,18,0.480560879918296,0.979336075860045,1.00000053064341,18.2843690068232,0.717067447237343,0,0.803206
ES_only,0,0.3,0,8,0,8,[7 8 14 18 29 30 31 32],0.862660760501858,18,0.450456062852023,0.966585854032533,1,16.4810330190899,0,0,0.7546478
ES_Qg25,0.25,0.3,0,8,0,8,[7 8 14 18 29 30 31 32],0.86383351848926,18,0.441637235185028,0.946298714884014,1.00000050265045,15.9821321625935,0.175568837358522,0,0.7865109
ES_Qg50,0.5,0.3,0,8,0,8,[7 8 14 18 29 30 31 32],0.865001983484032,18,0.428233294644136,0.994327151300093,1.00000182750984,15.4859845274054,0.36638385759427,0,0.8659035
ES_Qg75,0.75,0.3,0,8,0,8,[7 8 14 18 29 30 31 32],0.866166219606337,18,0.419714495667647,0.979378250611406,1.00000360177523,14.9920485420564,0.554744095834206,0,0.8525864
Qg_full_ES,1,0.3,0,8,0,8,[7 8 14 18 29 30 31 32],0.86732610444184,18,0.413755037063556,0.971071570758649,1.00000041121022,14.5120869262091,0.723221754615656,0,0.7791495
ES_only,0,0.3,0,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.873491953103649,18,0.413698012376275,0.949260202865034,1,14.1669011718928,0,0,0.8267582
ES_Qg25,0.25,0.3,0,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.874642250875773,18,0.408760885432167,0.950856721729919,1,13.6828296439805,0.176559364519359,0,0.851038
ES_Qg50,0.5,0.3,0,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.875788436909503,18,0.394704566094566,0.995491879053191,1,13.2259635589975,0.372505996354434,0,0.9302215
