Placement,Buses,N_ES,rho,u_min,Feasible,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,MaxCurt,SolCode,SolInfo
P1,[18 33],2,0.2,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.2,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.3,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.3,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.4,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.4,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.5,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.6,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.7,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.8,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.2,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.2,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.3,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.3,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.4,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.4,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.5,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.6,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.7,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.8,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.2,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.2,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.3,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.3,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.4,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.4,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.5,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.6,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
