N_e,N_s_max,N_b_max,Stage4_Nr_ref,N_e_used,N_s_used,N_b_used,SolverOK,VoltageFeasible,Vmin_pu,WorstBus,WorstHour,TotalLoss_pu,TotalQs_pu,TotalQb_pu,MeanCurt,SolveTime_s
0,0,0,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8624389
0,0,1,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.169682
0,1,0,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0994737
0,0,2,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8266197
0,1,1,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1618446
0,2,0,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1415661
0,0,3,3,0,0,3,1,1,0.950000000313607,30,16,0.436128863449721,0,5.60515157841592,0,18.3539732
8,0,0,2,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6727273
8,0,1,2,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5399478
8,1,0,2,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6424499
8,0,2,2,8,0,2,1,1,0.95000000397189,18,2,0.195783435941422,0,2.43122880981042,0.799998389663069,64.9005725
16,0,0,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5800008
16,0,1,1,16,0,1,1,1,0.950715754265927,33,19,0.136813599095513,0,1.65834920223308,0.799998801839337,14.2203574
32,0,0,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7455522
32,0,1,1,32,0,1,1,1,0.95433795847029,18,17,0.0826199220127095,0,1.43236869446788,0.799995974621928,10.8513591
