N_e,N_s_max,N_b_max,S7_Nr_ref,S5_Nr_ref,N_e_used,N_s_used,N_b_used,SolverOK,VoltageFeasible,Vmin_pu,WorstBus,WorstHour,TotalLoss_pu,TotalQes_pu,TotalQs_pu,TotalQb_pu,MeanCurt,SolveTime_s
0,0,0,3,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7856617
0,0,1,3,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6146643
0,1,0,3,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0714251
0,0,2,3,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0319445
0,1,1,3,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7788778
0,2,0,3,3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8306021
0,0,3,3,3,0,0,3,1,1,0.950000000313607,30,16,0.436128863449721,0,0,5.60515157841592,0,10.2070801
1,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5611597
1,0,1,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1185699
1,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5730845
1,0,2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240.513795
1,1,1,NaN,NaN,1,1,1,1,1,0.95000000142532,31,21,0.419827640738306,1.46913458869378,0.763226399803189,2.00123581872768,0.799999175921265,26.4640569
2,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6305869
2,0,1,NaN,NaN,2,0,1,1,1,0.950000000813363,31,20,0.365213131372904,1.95430559753103,0,1.79609483120386,0.799999926641271,36.3326008
3,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6714715
3,0,1,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240.9314102
3,1,0,NaN,NaN,3,1,0,1,1,0.950000001655795,12,17,0.406582209107873,2.87522135402477,0.825681719688425,0,0.799998342111919,4.4959065
