Bus,VSI_raw,VSI_norm,DeltaVmin,DeltaP_pu
1,0,0,0,0
2,0.00934803191916029,0.00737696082123692,8.41322872724426e-06,0.0009
3,0.0572317531931257,0.0451642019076797,4.63577200864318e-05,0.00081
4,0.102856641601146,0.0811688943573716,0.000111085172929237,0.00108
5,0.136602688337471,0.107799447911137,7.37654517022346e-05,0.00054
6,0.221146828418191,0.174517107246714,0.000119419287345823,0.00054
7,0.283122434551506,0.223424901130128,0.00050962038219271,0.0018
8,0.352329173332672,0.278039113508653,0.00063419251199881,0.0018
9,0.428916910037045,0.338478009946024,0.000231615131420004,0.00054
10,0.53970723714253,0.425907739486635,0.000291441908056966,0.00054
11,0.663305979585214,0.523445177146106,0.000268638921732012,0.000405
12,0.675003642016094,0.532676339191646,0.000364501966688691,0.00054
13,0.858311950650579,0.67733333466383,0.000463488453351313,0.00054
14,0.97971553628087,0.773138473381498,0.00105809277918334,0.00108
15,0.798543124915826,0.630167012427286,0.000431213287454546,0.00054
16,0.961199589307162,0.758526690219613,0.000519047778225867,0.00054
17,1.11271853737613,0.8780972429569,0.000600868010183109,0.00054
18,1.26719283803826,1,0.00102642619881099,0.00081
19,0.00879710733915749,0.00694220096191221,7.12565694471756e-06,0.00081
20,0.00891458051725614,0.00703490443574221,7.22081021897747e-06,0.00081
21,0.00893799611977207,0.00705338276186043,7.23977685701538e-06,0.00081
22,0.00895906354836933,0.00707000803621873,7.25684147417915e-06,0.00081
23,0.0607346192964761,0.0479284742411417,4.91950416301457e-05,0.00081
24,0.0603332754411288,0.0476117553935442,0.000228059781167467,0.00378
25,0.0611099514435942,0.0482246660565083,0.000230995616456786,0.00378
26,0.233037183251023,0.183900331706252,0.000125840078955552,0.00054
27,0.235783529304065,0.186067599363236,0.000127323105824195,0.00054
28,0.236711308326809,0.186799752351237,0.000127824106496477,0.00054
29,0.279142866724361,0.220284441598093,0.00030147429606231,0.00108
30,0.621984419041439,0.490836438125969,0.00111957195427459,0.0018
31,0.272876717101806,0.215339535476105,0.000368383568087438,0.00135
32,0.27530965403101,0.217259477616063,0.000520335246118608,0.00189
33,0.303439867621602,0.239458319612472,0.000163857528515665,0.00054
