Row,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
bus2,2.59330175111927e-08,2.59778417666112e-08,2.55771284152218e-08,2.56418581923157e-08,2.55771284152218e-08,2.59330175111927e-08,2.57995208530204e-08,2.59017052250954e-08,2.58945491715679e-08,2.585688063661e-08,2.58945491715679e-08,2.5932843983334e-08,2.58923129603517e-08,2.59168490002182e-08,2.59024406368269e-08,2.58945491715679e-08,3.14469605910972e-08,3.15977182197003e-08,3.15506842873958e-08,3.15041004395056e-08,3.15093098279817e-08,3.15149091267841e-08,2.59433642346707e-08,2.59347605613414e-08
bus3,2.00791734350503e-08,2.00350733781107e-08,1.85619450920882e-08,1.85939084129672e-08,1.85619450920882e-08,2.00791734350503e-08,2.43615437822697e-08,2.53619573120645e-08,2.59846585359824e-08,2.59635694055405e-08,2.59846585359824e-08,2.60097040571949e-08,2.56454796287997e-08,2.5609788512071e-08,2.56186057923102e-08,2.59846585359824e-08,2.55675502991437e-08,2.67017978838879e-08,2.71418052477657e-08,2.70615798658724e-08,2.65431407964201e-08,2.55126212378443e-08,2.52273718581719e-08,1.99037768489063e-08
bus4,3.22111017858617e-08,3.25598743522448e-08,2.75002576266559e-08,2.74386022791617e-08,2.75002576266559e-08,3.22111017858617e-08,3.2641762848229e-08,3.58310020542874e-08,3.78768798547924e-08,3.74434715455507e-08,3.78768798547924e-08,3.82820227740055e-08,3.67190653438598e-08,3.67008542445646e-08,3.66529424589146e-08,3.78768798547924e-08,4.15688048427398e-08,4.70093441951036e-08,4.93317640071211e-08,4.87480282806985e-08,4.66740510685071e-08,4.22621918572119e-08,3.56921232569363e-08,3.25567069969779e-08
bus5,2.52632492703242e-08,2.52853726845359e-08,2.24014291561048e-08,2.26384107016031e-08,2.24014291561048e-08,2.52632492703242e-08,2.57581619367286e-08,2.77204781351514e-08,2.90781821954411e-08,2.90571744443469e-08,2.90781821954411e-08,2.90926321921958e-08,2.83408689849551e-08,2.82310482768722e-08,2.82689786024193e-08,2.90781821954411e-08,3.46673437734424e-08,3.68672500306033e-08,3.76907131061088e-08,3.73987137924914e-08,3.6615632303949e-08,3.50812742189177e-08,2.73725514476908e-08,2.55742187427188e-08
bus6,2.62652910532069e-08,2.6333688230018e-08,2.17911361177769e-08,2.21765402708129e-08,2.17911361177769e-08,2.62652910532069e-08,2.67942145137923e-08,2.97279889593938e-08,3.16452549720125e-08,3.14695157710432e-08,3.16452549720125e-08,3.17381552150664e-08,3.05506439035597e-08,3.05217906504396e-08,3.05094206565215e-08,3.16452549720125e-08,3.69543183831311e-08,4.16645195011611e-08,4.4090925355178e-08,4.37316751700223e-08,4.13545582222952e-08,3.75272440900076e-08,2.93741497792155e-08,2.66873680931923e-08
bus7,6.04908089174572e-08,6.69376704065527e-08,3.69934204380584e-08,3.30887875987784e-08,3.69934204380584e-08,6.04908089174572e-08,8.40425367076847e-08,2.80398569918461e-07,0.561656790434522,0.933530774218909,0.561656790434522,0.173147731896498,7.06665542749008e-07,4.39425156928408e-07,4.8531676577479e-07,0.561656790434522,0.999983348178089,0.99999985299253,0.999999911841293,0.999999899012416,0.999999856930825,0.999984629082758,2.34627375306218e-07,7.31423975830481e-08
bus8,8.85743374201553e-08,9.85515252738267e-08,4.26163505595767e-08,3.34965454262814e-08,4.26163505595767e-08,8.85743374201553e-08,1.2664994208933e-07,0.999999017355495,0.99999985630018,0.999999830573072,0.99999985630018,0.999999870215063,0.999999558888782,0.999999589347165,0.999999564856601,0.99999985630018,0.999999793461187,0.999999931083249,0.999999952487861,0.999999948934698,0.999999931721063,0.999999834058675,0.434861503610743,9.63933580733212e-08
bus9,3.06604912569952e-08,3.09806131859602e-08,2.24004716997683e-08,2.2219696416137e-08,2.24004716997683e-08,3.06604912569952e-08,3.09927002950516e-08,3.86148703013234e-08,4.29556222814043e-08,4.26664236163887e-08,4.29556222814043e-08,4.35855276315067e-08,3.91767392970976e-08,3.9207893043347e-08,3.9101509474726e-08,4.29556222814043e-08,5.76492668047379e-08,7.80022263446867e-08,1.11061804197732e-07,1.05517757087448e-07,7.60729141902061e-08,5.76619677561396e-08,3.81038440799841e-08,3.10369514533448e-08
bus10,3.2548559736334e-08,3.32174456829648e-08,2.20931026806426e-08,2.18531014395396e-08,2.20931026806426e-08,3.2548559736334e-08,3.30590423924804e-08,4.66797275278097e-08,6.42172843789979e-08,6.66488338962878e-08,6.42172843789979e-08,6.22974213326799e-08,4.92250771255698e-08,4.79823887289399e-08,4.83282619478942e-08,6.42172843789979e-08,7.64917055251502e-08,1.35287331115563e-07,2.97677653859907e-07,2.52361780916921e-07,1.285617599045e-07,7.5555080858436e-08,4.45596907150403e-08,3.31480400905804e-08
bus11,2.62403029305247e-08,2.71914634142334e-08,1.83399998521239e-08,1.85402673213986e-08,1.83399998521239e-08,2.62403029305247e-08,3.31818504895054e-08,4.59672486741169e-08,6.01275648159927e-08,6.1420584840377e-08,6.01275648159927e-08,5.96845052269757e-08,4.82420522418536e-08,4.70393272111735e-08,4.73682405521814e-08,6.01275648159927e-08,6.01960786772437e-08,8.95101741615889e-08,1.85253963169707e-07,1.69587046849884e-07,9.26919805355197e-08,5.92058542192575e-08,4.39701701715478e-08,3.3109235686446e-08
bus12,3.71454602632326e-08,3.81011574512868e-08,2.28410231839504e-08,2.23119961395568e-08,2.28410231839504e-08,3.71454602632326e-08,4.1440607612131e-08,7.89354946961751e-08,1.25754108681875e-07,1.23275252006394e-07,1.25754108681875e-07,1.35575716431191e-07,8.54707665753907e-08,8.05431666917045e-08,8.22413112055997e-08,1.25754108681875e-07,1.46247610466332e-07,4.02577172708973e-07,0.0485215854837669,0.291151370361182,3.39239580648965e-07,1.33054118833797e-07,7.26399909112274e-08,3.95763949390115e-08
bus13,4.4872408899721e-08,4.62283910040995e-08,2.37165427297015e-08,2.24874234788786e-08,2.37165427297015e-08,4.4872408899721e-08,5.27020244112109e-08,1.56635659886994e-07,5.28418074186021e-07,4.49487258635806e-07,5.28418074186021e-07,6.37529355418387e-07,2.05767992422778e-07,1.64757415266337e-07,1.77543188595308e-07,5.28418074186021e-07,8.42403806711189e-07,0.999999629644685,0.999999909120714,0.9999998957544,0.999999629323123,3.81726898313062e-07,1.33262917478838e-07,4.94909671022725e-08
bus14,0.547304572498907,0.118750587360344,5.97744119756882e-08,1.00100023825433e-07,5.97744119756882e-08,0.547304572471888,0.999998377574622,0.999999961318108,0.999999974121291,0.999999973325382,0.999999974121291,0.999999975440955,0.999999962913799,0.99999996126561,0.999999961721205,0.999999974121291,0.999999964180077,0.999999977813355,0.999999984897202,0.999999983936283,0.999999977014755,0.999999964289238,0.999999955894711,0.999997025211744
bus15,4.08225692138942e-08,4.21885704149361e-08,2.31121447535898e-08,2.23682588007534e-08,2.31121447535898e-08,4.08225692138942e-08,4.85819957596334e-08,1.23706319854477e-07,1.70113164332797e-07,1.60377764735209e-07,1.70113164332797e-07,2.378463493935e-07,1.24777394638897e-07,1.1993664228438e-07,1.21256128360336e-07,1.70113164332797e-07,3.40956246125401e-07,0.177154009190859,0.999999871466878,0.999999848687258,0.404173526120512,2.51518770033599e-07,1.09418776150783e-07,4.50950682351348e-08
bus16,5.07862355503264e-08,5.26900851838263e-08,2.46799729541891e-08,2.2838923086077e-08,2.46799729541891e-08,5.07862355503264e-08,6.04870676879088e-08,2.95543859052394e-07,1.27375444138877e-05,9.96848037315701e-06,1.27375444138877e-05,1.02662737072601e-05,4.35620228556033e-07,2.92349199626507e-07,3.28665493931624e-07,1.27375444138877e-05,0.969140205541982,0.999999863020906,0.9999999410926,0.999999934939621,0.999999854924694,0.351789188398332,2.23424003964467e-07,5.60302056973327e-08
bus17,6.36168797640835e-08,6.74879536699535e-08,2.73027819241989e-08,2.36384999352524e-08,2.73027819241989e-08,6.36168797640835e-08,7.61243420521751e-08,0.278264024438889,0.999999764612877,0.999999789384176,0.999999764612877,0.999999839092936,0.848749594544123,0.572761315802017,0.712362222415444,0.999999764612877,0.999999790200883,0.999999925472727,0.999999960135573,0.999999956894602,0.999999921143106,0.999999804131737,1.12389236839316e-06,7.04262459461091e-08
bus18,3.48309199127428e-06,4.87569275597899e-06,5.07263604454522e-08,3.47566955216649e-08,5.07263604454522e-08,3.48309197029106e-06,0.765610197934136,0.999999957789762,0.999999970806501,0.999999970431908,0.999999970806501,0.999999973149949,0.999999958266872,0.999999955944717,0.999999956542442,0.999999970806501,0.999999969701946,0.999999980854776,0.9999999863699,0.999999985977969,0.999999980206476,0.999999968394987,0.999999949341119,0.343670645663304
