Hour,Vmin_pu,VminBus,PlossTot_pu
1,0.947768394125497,18,0.00736052686335149
2,0.949531920094752,18,0.0068737571745874
3,0.951289715817445,18,0.00640501037435848
4,0.952166482454244,18,0.00617734524500926
5,0.951289715817445,18,0.00640501037435848
6,0.947768394125497,18,0.00736052686335149
7,0.938862779221009,18,0.0100705243581302
8,0.929804919097804,18,0.0132567446131846
9,0.922443534438347,18,0.0161641876499921
10,0.920586621966684,18,0.0169424833131633
11,0.922443534438347,18,0.0161641876499921
12,0.924293748166537,18,0.0154066706189412
13,0.92613733601948,18,0.0146697257625
14,0.927974369549565,18,0.0139531502229638
15,0.927056667653345,18,0.0143089043685576
16,0.922443534438347,18,0.0161641876499921
17,0.913090479280766,18,0.020267712658327
18,0.903560245490626,18,0.0249181538623335
19,0.895801397374415,18,0.0290522810721752
20,0.893842225339705,18,0.0301454106703359
21,0.901632022322682,18,0.0259164527978167
22,0.917788530384993,18,0.0181493474770648
23,0.933446840719604,18,0.0119236630555574
24,0.942442859472662,18,0.00893061845560832
