BUS,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0062,0.006,0.0058,0.0057,0.0058,0.0062,0.0072,0.0082,0.009,0.0092,0.009,0.0088,0.0086,0.0084,0.0085,0.009,0.01,0.011,0.0118,0.012,0.0112,0.0095,0.0078,0.0068
3,0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
4,0.00744,0.0072,0.00696,0.00684,0.00696,0.00744,0.00864,0.00984,0.0108,0.01104,0.0108,0.01056,0.01032,0.01008,0.0102,0.0108,0.012,0.0132,0.01416,0.0144,0.01344,0.0114,0.00936,0.00816
5,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
6,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
7,0.0124,0.012,0.0116,0.0114,0.0116,0.0124,0.0144,0.0164,0.018,0.0184,0.018,0.0176,0.0172,0.0168,0.017,0.018,0.02,0.022,0.0236,0.024,0.0224,0.019,0.0156,0.0136
8,0.0124,0.012,0.0116,0.0114,0.0116,0.0124,0.0144,0.0164,0.018,0.0184,0.018,0.0176,0.0172,0.0168,0.017,0.018,0.02,0.022,0.0236,0.024,0.0224,0.019,0.0156,0.0136
9,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
10,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
11,0.00279,0.0027,0.00261,0.002565,0.00261,0.00279,0.00324,0.00369,0.00405,0.00414,0.00405,0.00396,0.00387,0.00378,0.003825,0.00405,0.0045,0.00495,0.00531,0.0054,0.00504,0.004275,0.00351,0.00306
12,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
13,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
14,0.00744,0.0072,0.00696,0.00684,0.00696,0.00744,0.00864,0.00984,0.0108,0.01104,0.0108,0.01056,0.01032,0.01008,0.0102,0.0108,0.012,0.0132,0.01416,0.0144,0.01344,0.0114,0.00936,0.00816
15,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
16,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
17,0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
18,0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
