Row,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
bus2,1.11568182248334e-07,1.12598192769653e-07,1.08955251265641e-07,1.11134758284948e-07,1.08955251265641e-07,1.11568182248334e-07,1.10150430110423e-07,1.10117401863619e-07,1.06803435651059e-07,1.07196997500836e-07,1.06803435651059e-07,1.08202153903392e-07,1.08433493295479e-07,1.09169123740926e-07,1.08755039640585e-07,1.06803435651059e-07,1.98604681145298e-07,1.97948593072539e-07,2.02013897387943e-07,1.94805688247257e-07,1.98211625113132e-07,1.99049808413676e-07,1.11236830413475e-07,1.12965009790855e-07
bus3,-2.62244803650447e-08,-2.65990953707274e-08,-4.21523860261175e-08,-3.76229167819986e-08,-4.21523860261175e-08,-2.62244803650447e-08,9.35064750073877e-08,1.02992453454576e-07,1.02455872896812e-07,1.08543789290039e-07,1.02455872896812e-07,1.05917841608516e-07,1.02916358768468e-07,1.02488968645176e-07,1.02488434405856e-07,1.02455872896812e-07,1.06646405484412e-07,1.1675110722642e-07,1.53414482229053e-07,1.24139965418379e-07,1.23035210242151e-07,1.02784132760547e-07,9.96168387779051e-08,-2.72046372096213e-08
bus4,1.86409464086879e-07,1.88062682537904e-07,1.37047219128661e-07,1.49273111205162e-07,1.37047219128661e-07,1.86409464086879e-07,1.98893743919015e-07,2.33238339530928e-07,2.28939098123604e-07,2.58037864853122e-07,2.28939098123604e-07,2.46017434202273e-07,2.32354417262215e-07,2.30572241521898e-07,2.30436413728441e-07,2.28939098123604e-07,3.21037527006851e-07,3.55864495871216e-07,8.03694604867289e-07,7.25375640664438e-07,4.2118972976013e-07,3.03392906353395e-07,2.2043953618045e-07,1.97147260960762e-07
bus5,1.07158222961701e-07,1.06703204938441e-07,7.11698602273714e-08,8.31226134589969e-08,7.11698602273714e-08,1.07158222961701e-07,1.16577262065931e-07,1.3432754064624e-07,1.36715978538149e-07,1.50841488633091e-07,1.36715978538149e-07,1.43210826308859e-07,1.35541193824196e-07,1.33430533066914e-07,1.33897233745017e-07,1.36715978538149e-07,2.55741769539242e-07,2.79161095129155e-07,4.39667352303275e-07,3.69440967595835e-07,3.08545614835509e-07,2.47567436773011e-07,1.2745003030723e-07,1.14567637821139e-07
bus6,1.00991083051838e-07,1.00195848951046e-07,5.12419411347054e-08,6.74384594834265e-08,5.12419411347054e-08,1.00991083051838e-07,1.13911504229236e-07,1.29758323863527e-07,1.29843449769851e-07,1.52148625032211e-07,1.29843449769851e-07,1.40834465423012e-07,1.300625300793e-07,1.28050936076818e-07,1.28358661477534e-07,1.29843449769851e-07,3.0044562659981e-07,3.62104641382643e-07,1.10934504671256e-06,1.07547626870819e-06,4.46410941545849e-07,2.74759585972006e-07,1.24013156410641e-07,1.11012281367451e-07
bus7,3.78794420718975e-07,3.9705967691539e-07,2.36994264213308e-07,1.96892518733449e-07,2.36994264213308e-07,3.78794420718975e-07,1.00749407794254e-06,0.636233515366313,0.799996019308827,0.799998843204583,0.799996019308827,0.799995740364381,0.799958589342938,0.799940281785695,0.799952489386249,0.799996019308827,0.799999375627285,0.799999601054429,0.799999739896203,0.799999599042695,0.799999691823776,0.799999012759426,3.52120092084185e-06,6.48934927571787e-07
bus8,5.97094026222322e-07,5.5379400554223e-07,2.8821865782902e-07,2.30247906296555e-07,2.8821865782902e-07,5.97094026222322e-07,3.65267435564753e-06,0.799998963550556,0.79999927019051,0.799999491254259,0.79999927019051,0.799999451896506,0.799999084031188,0.799998991705616,0.799999032769059,0.79999927019051,0.799999664504951,0.799999784250556,0.799999819082602,0.799999735872747,0.799999790678709,0.799999497943679,0.799997565810482,1.26378109599479e-06
bus9,1.20685050619684e-07,1.26169399594644e-07,5.74027085864515e-08,6.99002051796072e-08,5.74027085864515e-08,1.20685050619684e-07,1.36553200746903e-07,2.41726862526548e-07,3.88723535138524e-07,4.24079647398656e-07,3.88723535138524e-07,3.75422581688767e-07,2.87206747273672e-07,2.55754526223839e-07,2.68239483292021e-07,3.88723535138524e-07,1.10708608414001e-06,3.05444707526803e-06,0.141822900698332,0.563536878192673,3.47421411661664e-06,6.74838315672943e-07,1.76787765315822e-07,1.32740156866262e-07
bus10,1.14901696823821e-07,1.23188471867763e-07,4.59396212182384e-08,6.01976346548128e-08,4.59396212182384e-08,1.14901696823821e-07,1.5277309883821e-07,4.35689901934211e-07,3.71599478299345e-07,3.24289390896126e-07,3.71599478299345e-07,4.49599597329708e-07,4.05213533394289e-07,4.25085624700117e-07,4.14222540490172e-07,3.71599478299345e-07,3.1614367868027e-06,0.799998238301018,0.799998844842095,0.799998978554655,0.799998418813209,1.37673756994694e-06,2.54871123095413e-07,1.37385025578141e-07
bus11,-3.62032215317498e-08,-3.88993477429267e-08,-8.4683135614938e-08,-7.73342307969216e-08,-8.4683135614938e-08,-3.62032215317498e-08,1.76524956430058e-07,4.46847693513774e-07,5.30382624042147e-07,5.23191644008492e-07,5.30382624042147e-07,5.38746020462e-07,4.45104034518806e-07,4.40786873223686e-07,4.39722292133737e-07,5.30382624042147e-07,1.91777651470382e-06,0.461175196288307,0.799997215828197,0.799998519090894,0.613446073874687,9.07754718948439e-07,2.83277694634876e-07,1.59521565956666e-07
