h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.12288098211388e-09,2.09333050893434e-09,2.06092459764662e-09,2.04333888698116e-09,2.06092459764662e-09,2.12288098211388e-09,2.73180650323113e-09,2.83508228005047e-09,2.81931877843533e-09,2.84009421536169e-09,2.81931877843533e-09,2.81360684750709e-09,2.81679463087769e-09,2.81887846398376e-09,2.81712247973687e-09,2.81931877843533e-09,3.72147401783707e-09,3.7924910434306e-09,3.86485377035228e-09,3.86932130780338e-09,3.80795422971758e-09,2.71549049912778e-09,2.69905425787087e-09,2.66556365868809e-09
9.57557882985682e-09,9.38060862321066e-09,9.15775366649996e-09,9.03753244463346e-09,9.15775366649996e-09,9.57557882985682e-09,1.30474974713302e-08,1.36304497133644e-08,1.32580292855344e-08,1.34643429738901e-08,1.32580292855344e-08,1.31263675484661e-08,1.32308773936884e-08,1.33273182489901e-08,1.327024051756e-08,1.32580292855344e-08,1.84907383293798e-08,1.74598149271787e-08,1.63529760843772e-08,1.5897042848767e-08,1.72298833533979e-08,1.27378554926061e-08,1.28190191239774e-08,1.29234501988762e-08
1.47539806483188e-08,1.43816503150873e-08,1.39665717324711e-08,1.37429018165491e-08,1.39665717324711e-08,1.47539806483188e-08,2.19648886301549e-08,2.30209485918564e-08,2.07819335629189e-08,2.09001912443441e-08,2.07819335629189e-08,2.08877013463393e-08,2.14804234954791e-08,2.20031216580097e-08,2.17280231584738e-08,2.07819335629189e-08,2.78553989319086e-08,1.94746133108659e-08,1.38710657959784e-08,1.26117945531412e-08,1.80996339582684e-08,1.90942019417939e-08,2.13569582574458e-08,2.12210756744824e-08
2.21825742219295e-08,2.14474328297243e-08,2.06575054839675e-08,2.02424799700118e-08,2.06575054839675e-08,2.21825742219295e-08,3.68965408781285e-08,3.836670364743e-08,2.97376344104983e-08,2.91519449135969e-08,2.97376344104983e-08,3.10003387959945e-08,3.31082632420987e-08,3.51082983240936e-08,3.40777775997836e-08,2.97376344104983e-08,2.82907094417695e-08,1.34673748264369e-08,6.39619579523298e-09,4.88654883223916e-09,1.15878316941931e-08,2.54732032689553e-08,3.54452161510643e-08,3.48744982336946e-08
6.32018539170609e-08,5.99226629427463e-08,5.63037321210658e-08,5.43468238189959e-08,5.63037321210658e-08,6.32018539170609e-08,2.43977793024097e-07,2.88263200975969e-07,9.13324456619513e-08,8.08905267213333e-08,9.13324456619513e-08,1.18336819066034e-07,1.56031325804218e-07,2.03380905949846e-07,1.77442752935519e-07,9.13324456619513e-08,3.64739324854035e-08,1.87329567413741e-08,1.12867181156773e-08,9.70343122519424e-09,1.68956915125307e-08,6.35697521289558e-08,2.26442881001709e-07,1.90471088401534e-07
7.81264108962176e-08,7.36600195283543e-08,6.85672622569022e-08,6.56748799232609e-08,6.85672622569022e-08,7.81264108962176e-08,5.51538214321745e-07,0.000978954566368262,0.0121276103116209,0.0154512469900985,0.0121276103116209,0.00871076636566459,0.00608411090229916,0.00354315559596063,0.0048145361276139,0.0121276103116209,0.0344283545351147,0.0463156486634537,0.057201296720837,0.0602991560515525,0.0486763045469389,0.0182421762353675,5.07059046306324e-07,3.40225250583526e-07
1.61039557800002e-07,1.46282047586155e-07,1.3206426946466e-07,1.23472276458703e-07,1.3206426946466e-07,1.61039557800002e-07,0.00410973837812617,0.00694922237473178,0.00379357213400522,0.00274486555737374,0.00379357213400522,0.00490190849436534,0.00562791882422636,0.00630043754118287,0.00597069357604596,0.00379357213400522,0.000686955535427858,3.20533958153568e-07,1.25970925468621e-07,1.07193428189323e-07,2.42855648480145e-07,0.000888694146161439,0.00430216386223303,0.00108096318889023
3.80402462585305e-07,3.47152491697589e-07,3.11057509361223e-07,2.79606133468668e-07,3.11057509361223e-07,3.80402462585305e-07,0.00166422748354705,0.00200472696138471,0.00246762350834462,0.00260811415773782,0.00246762350834462,0.00232859728633084,0.00221677299215872,0.00210950591802916,0.00216218793822454,0.00246762350834462,0.00305285017829543,0.00240800724838708,0.00153976454729832,0.00128585674965798,0.00224194646911408,0.00283968396859779,0.00182504746657663,0.0015580908181751
2.67582087193352e-06,2.50257993394953e-06,1.9816666439465e-06,1.44813816993494e-06,1.9816666439465e-06,2.67582087193352e-06,0.00164549579742834,0.00306922912715424,0.00688372150431527,0.00691729776085886,0.00688372150431527,0.00583621747123458,0.00487728863208953,0.00396367331009084,0.00441409127870446,0.00688372150431527,0.00724256163520209,0.00751978273663145,0.00978979401141683,0.0107975925816291,0.00759399524485893,0.0068697115425605,0.00180094146757087,0.00154346283236079
5.80126099614109e-06,6.40571144577828e-06,4.25504171452928e-06,2.65576236879728e-06,4.25504171452928e-06,5.80126099614109e-06,0.00217090584097362,0.00248918905518059,5.2052973861183e-05,4.32565445812605e-06,5.2052973861183e-05,0.00121340801432146,0.00221631192911093,0.00254392516548124,0.00251332006233679,5.2052973861183e-05,5.10709441847723e-07,2.37780514389385e-07,1.67005855977731e-07,1.636306959929e-07,2.1086682766569e-07,1.60820048933363e-06,0.00235475566759985,0.00204875201003774
