h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0062,0.006,0.0058,0.0057,0.0058,0.0062,0.0072,0.0082,0.009,0.0092,0.009,0.0088,0.0086,0.0084,0.0085,0.009,0.01,0.011,0.0118,0.012,0.0112,0.0095,0.0078,0.0068
0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
0.00744,0.0072,0.00696,0.00684,0.00696,0.00744,0.00864,0.00984,0.0108,0.01104,0.0108,0.01056,0.01032,0.01008,0.0102,0.0108,0.012,0.0132,0.01416,0.0144,0.01344,0.0114,0.00936,0.00816
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.0124,0.012,0.0116,0.0114,0.0116,0.0124,0.0144,0.0164,0.018,0.0184,0.018,0.0176,0.0172,0.0168,0.017,0.018,0.02,0.022,0.0236,0.024,0.0224,0.019,0.0156,0.0136
0.0124,0.012,0.0116,0.0114,0.0116,0.0124,0.0144,0.0164,0.018,0.0184,0.018,0.0176,0.0172,0.0168,0.017,0.018,0.02,0.022,0.0236,0.024,0.0224,0.019,0.0156,0.0136
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00279,0.0027,0.00261,0.002565,0.00261,0.00279,0.00324,0.00369,0.00405,0.00414,0.00405,0.00396,0.00387,0.00378,0.003825,0.00405,0.0045,0.00495,0.00531,0.0054,0.00504,0.004275,0.00351,0.00306
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00744,0.0072,0.00696,0.00684,0.00696,0.00744,0.00864,0.00984,0.0108,0.01104,0.0108,0.01056,0.01032,0.01008,0.0102,0.0108,0.012,0.0132,0.01416,0.0144,0.01344,0.0114,0.00936,0.00816
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00379440058436426,0.0052767123671456,0.0052199984526421,0.00512999475207243,0.0052199984526421,0.00379440058436426,0.0044064000672197,0.00501840004811244,0.00550800004324698,0.00563040004271064,0.00550800004324698,0.00538560004392641,0.0052632000465524,0.00514080004735285,0.00520200004695972,0.00550800004324698,0.00612000004038637,0.0067320000389511,0.00722160003886086,0.00734400003872392,0.00685440003898788,0.00581400004167764,0.00477360005244602,0.00416160008439367
0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
0.00558,0.0054,0.00522,0.00513,0.00522,0.00558,0.00648,0.00738,0.0081,0.00828,0.0081,0.00792,0.00774,0.00756,0.00765,0.0081,0.009,0.0099,0.01062,0.0108,0.01008,0.00855,0.00702,0.00612
0.02604,0.0252,0.02436,0.02394,0.02436,0.02604,0.03024,0.03444,0.0378,0.03864,0.0378,0.03696,0.03612,0.03528,0.0357,0.0378,0.042,0.0462,0.04956,0.0504,0.04704,0.0399,0.03276,0.02856
0.02604,0.0252,0.02436,0.02394,0.02436,0.02604,0.03024,0.03444,0.0378,0.03864,0.0378,0.03696,0.03612,0.03528,0.0357,0.0378,0.042,0.0462,0.04956,0.0504,0.04704,0.0399,0.03276,0.02856
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00744,0.0072,0.00696,0.00684,0.00696,0.00744,0.00864,0.00984,0.0108,0.01104,0.0108,0.01056,0.01032,0.01008,0.0102,0.0108,0.012,0.0132,0.01416,0.0144,0.01344,0.0114,0.00936,0.00816
0.0124,0.012,0.0116,0.0114,0.0116,0.0124,0.0144,0.0164,0.018,0.0184,0.018,0.0176,0.0172,0.0168,0.017,0.018,0.02,0.022,0.0236,0.024,0.0224,0.019,0.0156,0.0136
0.0093,0.009,0.0087,0.00855,0.0087,0.0093,0.0108,0.0123,0.0135,0.0138,0.0135,0.0132,0.0129,0.0126,0.01275,0.0135,0.015,0.0165,0.0177,0.018,0.0168,0.01425,0.0117,0.0102
0.01302,0.0126,0.01218,0.01197,0.01218,0.01302,0.01512,0.01722,0.0189,0.01932,0.0189,0.01848,0.01806,0.01764,0.01785,0.0189,0.021,0.0231,0.02478,0.0252,0.02352,0.01995,0.01638,0.01428
0.00371999809913602,0.00359999998025896,0.00347999965193466,0.00342000012563396,0.00347999965193466,0.00371999809913602,0.00293760013117796,0.00334560009095922,0.00367200007727449,0.00375360007578611,0.00367200007727449,0.0035904000791595,0.00350880008586389,0.00342720008842586,0.00346800008713849,0.00367200007727449,0.00408000006113655,0.00448800005620949,0.00481440005665608,0.00489600005678412,0.00456960005611935,0.00387600006929321,0.00318240010166514,0.00277440019692408
