h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00372,0.0036,0.00348,0.00342,0.00348,0.00372,0.00432,0.00492,0.0054,0.00552,0.0054,0.00528,0.00516,0.00504,0.0051,0.0054,0.006,0.0066,0.00708,0.0072,0.00672,0.0057,0.00468,0.00408
0.00248,0.0024,0.00232,0.00228,0.00232,0.00248,0.00288,0.00328,0.0036,0.00368,0.0036,0.00352,0.00344,0.00336,0.0034,0.0036,0.004,0.0044,0.00472,0.0048,0.00448,0.0038,0.00312,0.00272
0.00496,0.0048,0.00464,0.00456,0.00464,0.00496,0.00576,0.00656,0.0072,0.00736,0.0072,0.00704,0.00688,0.00672,0.0068,0.0072,0.008,0.0088,0.00944,0.0096,0.00896,0.0076,0.00624,0.00544
0.00186,0.0018,0.00174,0.00171,0.00174,0.00186,0.00216,0.00246,0.0027,0.00276,0.0027,0.00264,0.00258,0.00252,0.00255,0.0027,0.003,0.0033,0.00354,0.0036,0.00336,0.00285,0.00234,0.00204
0.00124,0.0012,0.00116,0.00114,0.00116,0.00124,0.00144,0.00164,0.0018,0.00184,0.0018,0.00176,0.00172,0.00168,0.0017,0.0018,0.002,0.0022,0.00236,0.0024,0.00224,0.0019,0.00156,0.00136
0.0062,0.006,0.0058,0.0057,0.0058,0.0062,0.0072,0.0082,0.009,0.0092,0.009,0.0088,0.0086,0.0084,0.0085,0.009,0.01,0.011,0.0118,0.012,0.0112,0.0095,0.0078,0.0068
0.0062,0.006,0.0058,0.0057,0.0058,0.0062,0.0072,0.0082,0.009,0.0092,0.009,0.0088,0.0086,0.0084,0.0085,0.009,0.01,0.011,0.0118,0.012,0.0112,0.0095,0.0078,0.0068
0.00124,0.0012,0.00116,0.00114,0.00116,0.00124,0.00144,0.00164,0.0018,0.00184,0.0018,0.00176,0.00172,0.00168,0.0017,0.0018,0.002,0.0022,0.00236,0.0024,0.00224,0.0019,0.00156,0.00136
0.00124,0.0012,0.00116,0.00114,0.00116,0.00124,0.00144,0.00164,0.0018,0.00184,0.0018,0.00176,0.00172,0.00168,0.0017,0.0018,0.002,0.0022,0.00236,0.0024,0.00224,0.0019,0.00156,0.00136
0.00186,0.0018,0.00174,0.00171,0.00174,0.00186,0.00216,0.00246,0.0027,0.00276,0.0027,0.00264,0.00258,0.00252,0.00255,0.0027,0.003,0.0033,0.00354,0.0036,0.00336,0.00285,0.00234,0.00204
0.00217,0.0021,0.00203,0.001995,0.00203,0.00217,0.00252,0.00287,0.00315,0.00322,0.00315,0.00308,0.00301,0.00294,0.002975,0.00315,0.0035,0.00385,0.00413,0.0042,0.00392,0.003325,0.00273,0.00238
0.00217,0.0021,0.00203,0.001995,0.00203,0.00217,0.00252,0.00287,0.00315,0.00322,0.00315,0.00308,0.00301,0.00294,0.002975,0.00315,0.0035,0.00385,0.00413,0.0042,0.00392,0.003325,0.00273,0.00238
0.00496,0.0048,0.00464,0.00456,0.00464,0.00496,0.00576,0.00656,0.0072,0.00736,0.0072,0.00704,0.00688,0.00672,0.0068,0.0072,0.008,0.0088,0.00944,0.0096,0.00896,0.0076,0.00624,0.00544
0.00062,0.0006,0.00058,0.00057,0.00058,0.00062,0.00072,0.00082,0.0009,0.00092,0.0009,0.00088,0.00086,0.00084,0.00085,0.0009,0.001,0.0011,0.00118,0.0012,0.00112,0.00095,0.00078,0.00068
0.00124,0.0012,0.00116,0.00114,0.00116,0.00124,0.00144,0.00164,0.0018,0.00184,0.0018,0.00176,0.00172,0.00168,0.0017,0.0018,0.002,0.0022,0.00236,0.0024,0.00224,0.0019,0.00156,0.00136
0.00124,0.0012,0.00116,0.00114,0.00116,0.00124,0.00144,0.00164,0.0018,0.00184,0.0018,0.00176,0.00172,0.00168,0.0017,0.0018,0.002,0.0022,0.00236,0.0024,0.00224,0.0019,0.00156,0.00136
0.00168640025971745,0.00234520549650915,0.00231999931228538,0.00227999766758774,0.00231999931228538,0.00168640025971745,0.00195840002987542,0.00223040002138331,0.00244800001922088,0.00250240001898251,0.00244800001922088,0.00239360001952285,0.00233920002068996,0.00228480002104571,0.00231200002087099,0.00244800001922088,0.0027200000179495,0.0029920000173116,0.0032096000172715,0.00326400001721063,0.00304640001732795,0.00258400001852339,0.00212160002330934,0.0018496000375083
0.00248,0.0024,0.00232,0.00228,0.00232,0.00248,0.00288,0.00328,0.0036,0.00368,0.0036,0.00352,0.00344,0.00336,0.0034,0.0036,0.004,0.0044,0.00472,0.0048,0.00448,0.0038,0.00312,0.00272
0.00248,0.0024,0.00232,0.00228,0.00232,0.00248,0.00288,0.00328,0.0036,0.00368,0.0036,0.00352,0.00344,0.00336,0.0034,0.0036,0.004,0.0044,0.00472,0.0048,0.00448,0.0038,0.00312,0.00272
0.00248,0.0024,0.00232,0.00228,0.00232,0.00248,0.00288,0.00328,0.0036,0.00368,0.0036,0.00352,0.00344,0.00336,0.0034,0.0036,0.004,0.0044,0.00472,0.0048,0.00448,0.0038,0.00312,0.00272
0.00248,0.0024,0.00232,0.00228,0.00232,0.00248,0.00288,0.00328,0.0036,0.00368,0.0036,0.00352,0.00344,0.00336,0.0034,0.0036,0.004,0.0044,0.00472,0.0048,0.00448,0.0038,0.00312,0.00272
0.0031,0.003,0.0029,0.00285,0.0029,0.0031,0.0036,0.0041,0.0045,0.0046,0.0045,0.0044,0.0043,0.0042,0.00425,0.0045,0.005,0.0055,0.0059,0.006,0.0056,0.00475,0.0039,0.0034
0.0124,0.012,0.0116,0.0114,0.0116,0.0124,0.0144,0.0164,0.018,0.0184,0.018,0.0176,0.0172,0.0168,0.017,0.018,0.02,0.022,0.0236,0.024,0.0224,0.019,0.0156,0.0136
0.0124,0.012,0.0116,0.0114,0.0116,0.0124,0.0144,0.0164,0.018,0.0184,0.018,0.0176,0.0172,0.0168,0.017,0.018,0.02,0.022,0.0236,0.024,0.0224,0.019,0.0156,0.0136
0.00155,0.0015,0.00145,0.001425,0.00145,0.00155,0.0018,0.00205,0.00225,0.0023,0.00225,0.0022,0.00215,0.0021,0.002125,0.00225,0.0025,0.00275,0.00295,0.003,0.0028,0.002375,0.00195,0.0017
0.00155,0.0015,0.00145,0.001425,0.00145,0.00155,0.0018,0.00205,0.00225,0.0023,0.00225,0.0022,0.00215,0.0021,0.002125,0.00225,0.0025,0.00275,0.00295,0.003,0.0028,0.002375,0.00195,0.0017
