h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.92398939552035e-09,1.92444156612944e-09,1.92491779798943e-09,1.92518132243921e-09,1.92491779798943e-09,1.92398939552035e-09,1.92278649279425e-09,1.93208277938696e-09,1.93159001767521e-09,1.9314757005808e-09,1.93159001767521e-09,1.93171408553025e-09,1.93184184673589e-09,1.93198671373123e-09,1.9319213652084e-09,1.93159001767522e-09,1.93112827496054e-09,1.93540886434335e-09,1.93326513322192e-09,1.932711859327e-09,1.93486619644133e-09,1.93133931177296e-09,1.92319539470979e-09,1.92300505598553e-09
2.0624431528783e-09,2.06789534102248e-09,2.07314461157108e-09,2.07575807658927e-09,2.07314461157108e-09,2.0624431528783e-09,2.03602789537615e-09,2.05837491611243e-09,2.0360519727155e-09,2.02990986352661e-09,2.0360519727155e-09,2.04195772390249e-09,2.0476198672158e-09,2.05322308995393e-09,2.05048817350027e-09,2.03605197271553e-09,2.0025881447596e-09,1.97726179189122e-09,1.95916922209638e-09,1.95744567341871e-09,1.97327109003331e-09,2.02031173564427e-09,2.02486913148765e-09,2.04571570756094e-09
2.07260559583649e-09,2.0838865201772e-09,2.09416560730969e-09,2.09937818550734e-09,2.09416560730969e-09,2.07260559583649e-09,2.00924627942626e-09,2.00710881363733e-09,1.99719441796212e-09,1.99399089522882e-09,1.99719441796212e-09,2.00016314012513e-09,2.00282203325265e-09,2.00536716146075e-09,2.00420223494506e-09,1.99719441796213e-09,1.98393377609448e-09,1.98609888572416e-09,1.96587310717089e-09,1.95827592583145e-09,1.98220394824714e-09,1.98849957323147e-09,1.97593938142577e-09,2.03378787550269e-09
1.99574517947005e-09,2.02083460824779e-09,2.04471470981183e-09,2.05647865963655e-09,2.04471470981183e-09,1.99574517947005e-09,1.95417215112918e-09,1.96519727395392e-09,1.94600063915855e-09,1.94552354085283e-09,1.94600063915855e-09,1.94651565868446e-09,1.94689837353536e-09,1.95645391146647e-09,1.95166300942809e-09,1.94600063915863e-09,1.93979410923962e-09,1.89563117008827e-09,1.87102019324187e-09,1.86465609382562e-09,1.88946935480493e-09,1.94413504172871e-09,1.93961380276318e-09,1.9675141987704e-09
1.68182993691657e-09,1.71532435149187e-09,1.74565012504378e-09,1.76347449792847e-09,1.74565012504378e-09,1.68182993691657e-09,1.52692556727135e-09,1.43573230971611e-09,1.62156753298445e-09,1.69992984644781e-09,1.62156753298445e-09,1.55630750617039e-09,1.50429326364593e-09,1.46465154769153e-09,1.4831026287146e-09,1.62156753298774e-09,2.3121467155926e-09,0.00883513283257717,0.0170405554256077,0.0191041427287852,0.0108792621296409,1.847524265745e-09,1.50689445325827e-09,1.5761956554872e-09
1.54054750872445e-09,1.58073064072556e-09,1.62050586793194e-09,1.6405280451908e-09,1.62050586793194e-09,1.54054750872445e-09,1.38489753994061e-09,1.41462614585598e-09,1.82570317305141e-09,1.98778205254132e-09,1.82570317305141e-09,1.71615903646094e-09,1.57752906697878e-09,1.48924540748386e-09,1.53178535588986e-09,1.82570317305825e-09,0.00510976582721218,0.0159218787623415,0.0246593663194971,0.026856405540487,0.0180987670942456,2.56156261334889e-09,1.41733881802853e-09,1.42419476199646e-09
1.32524881201562e-09,1.364721202953e-09,1.4073108241103e-09,1.42993513188742e-09,1.4073108241103e-09,1.32524881201562e-09,1.26172804081652e-09,1.69909108145573e-09,0.00234502129722149,0.00465481484066274,0.00234502129722149,3.97763084471973e-05,2.0756449146471e-09,1.84219498084569e-09,1.95140495077616e-09,0.00234502129721985,0.0139404648196927,0.0256559848032363,0.0351194792228126,0.0374984947676928,0.0280140947487516,0.00812814111997339,1.44648796165334e-09,1.24136601467682e-09
1.13785597145249e-09,1.14177536438893e-09,1.15740953788488e-09,1.16976626524872e-09,1.15740953788488e-09,1.13785597145249e-09,1.449333172715e-09,0.00233972646500895,0.0124462724720725,0.0149846806912538,0.0124462724720725,0.00991262260454633,0.00738368113921303,0.00485939854042408,0.00612096053043879,0.012446272472072,0.0251869325513622,0.0380532215018683,0.0484415606945798,0.0510523996240704,0.0406421814391236,0.0188013269255543,2.01318433681098e-09,1.22002831787113e-09
1.25213157577408e-09,1.1672641032761e-09,1.12372877583193e-09,1.10845969597646e-09,1.12372877583193e-09,1.25213157577408e-09,2.09726856869686e-09,0.0107849915218606,0.0217259559112124,0.0244733105823155,0.0217259559112124,0.0189834979119436,0.0162458850188051,0.0135130661827813,0.0148788794792209,0.021725955911213,0.0355127645315726,0.0494288729233757,0.0606598660405822,0.0634817736899732,0.052228257294425,0.0286036394375,0.0053428790585008,1.7197619820544e-09
